Date,StoreID,ItemID,TranType,Quantity,StockLevel
2025-04-22,1,10058,Sale,-16,-1264
2025-04-23,1,10058,Sale,-6,-1270
2025-04-24,1,10058,Sale,-9,-1279
2025-04-25,1,10058,Sale,-11,-1290
2025-04-26,1,10058,Sale,-17,-1307
2025-04-27,1,10058,Sale,-24,-1331
2025-04-28,1,10058,Sale,-16,-1347
2025-04-29,1,10058,Sale,-6,-1353
2025-04-30,1,10058,Sale,-16,-1369
2025-05-01,1,10058,Sale,-15,-1384
2025-05-02,1,10058,Sale,-6,-1390
2025-05-03,1,10058,Sale,-19,-1409
2025-05-04,1,10058,Sale,-13,-1422
2025-05-05,1,10058,Sale,-15,-1437
2025-05-06,1,10058,Sale,-13,-1450
2025-05-07,1,10058,Sale,-13,-1463
2025-05-08,1,10058,Sale,-8,-1471
2025-05-09,1,10058,Sale,-6,-1477
2025-05-10,1,10058,Sale,-17,-1494
2025-05-11,1,10058,Sale,-10,-1504
2025-05-12,1,10058,Sale,-16,-1520
2025-05-13,1,10058,Sale,-8,-1528
2025-05-14,1,10058,Sale,-5,-1533
2025-05-15,1,10058,Sale,-15,-1548
2025-05-16,1,10058,Sale,-6,-1554
2025-05-17,1,10058,Sale,-9,-1563
2025-05-18,1,10058,Sale,-7,-1570
2025-05-19,1,10058,Sale,-16,-1586
2025-05-20,1,10058,Sale,-5,-1591
2025-05-21,1,10058,Sale,-10,-1601
2025-05-22,1,10058,Sale,-9,-1610
2025-05-23,1,10058,Sale,-14,-1624
2025-05-24,1,10058,Sale,-7,-1631
2025-05-25,1,10058,Sale,-22,-1653
2025-05-26,1,10058,Sale,-15,-1668
2025-05-27,1,10058,Sale,-16,-1684
2025-05-28,1,10058,Sale,-13,-1697
2025-05-29,1,10058,Sale,-8,-1705
2025-05-30,1,10058,Sale,-8,-1713
2025-05-31,1,10058,Sale,-17,-1730
2025-06-01,1,10058,Sale,-13,-1743
2025-06-02,1,10058,Sale,-8,-1751
2025-06-03,1,10058,Sale,-13,-1764
2025-06-04,1,10058,Sale,-15,-1779
2025-06-05,1,10058,Sale,-12,-1791
2025-06-06,1,10058,Sale,-12,-1803
2025-06-07,1,10058,Sale,-18,-1821
2025-06-08,1,10058,Sale,-12,-1833
2025-06-09,1,10058,Sale,-5,-1838
2025-06-10,1,10058,Sale,-8,-1846
2025-06-11,1,10058,Sale,-7,-1853
2025-06-12,1,10058,Sale,-5,-1858
2025-06-13,1,10058,Sale,-9,-1867
2025-06-14,1,10058,Sale,-19,-1886
2025-06-15,1,10058,Sale,-18,-1904
2025-06-16,1,10058,Sale,-8,-1912
2025-06-17,1,10058,Sale,-14,-1926
2025-06-18,1,10058,Sale,-15,-1941
2025-06-19,1,10058,Sale,-5,-1946
2025-06-20,1,10058,Sale,-14,-1960
2025-06-21,1,10058,Sale,-15,-1975
2025-06-22,1,10058,Sale,-15,-1990
2025-06-23,1,10058,Sale,-11,-2001
2025-06-24,1,10058,Sale,-11,-2012
2025-06-25,1,10058,Sale,-13,-2025
2025-06-26,1,10058,Sale,-14,-2039
2025-06-27,1,10058,Sale,-13,-2052
2025-06-28,1,10058,Sale,-9,-2061
2025-06-29,1,10058,Sale,-13,-2074
2025-06-30,1,10058,Sale,-10,-2084
2025-07-01,1,10058,Sale,-13,-2097
2025-07-02,1,10058,Sale,-10,-2107
2025-07-03,1,10058,Sale,-14,-2121
2025-07-04,1,10058,Sale,-15,-2136
2025-07-05,1,10058,Sale,-10,-2146
2025-07-06,1,10058,Sale,-18,-2164
2025-07-07,1,10058,Sale,-14,-2178
2025-07-08,1,10058,Sale,-12,-2190
2025-07-09,1,10058,Sale,-10,-2200
2025-07-10,1,10058,Sale,-8,-2208
2025-07-11,1,10058,Sale,-8,-2216
2025-07-12,1,10058,Sale,-16,-2232
2025-07-13,1,10058,Sale,-9,-2241
2025-07-14,1,10058,Sale,-15,-2256
2025-07-15,1,10058,Sale,-8,-2264
2025-07-16,1,10058,Sale,-5,-2269
2025-07-17,1,10058,Sale,-15,-2284
2025-07-18,1,10058,Sale,-10,-2294
2025-07-19,1,10058,Sale,-9,-2303
2025-07-20,1,10058,Sale,-15,-2318
2025-07-21,1,10058,Sale,-14,-2332
2025-07-22,1,10058,Sale,-8,-2340
2025-07-23,1,10058,Sale,-8,-2348
2025-07-24,1,10058,Sale,-11,-2359
2025-07-25,1,10058,Sale,-14,-2373
2025-07-26,1,10058,Sale,-21,-2394
2025-07-27,1,10058,Sale,-7,-2401
2025-07-28,1,10058,Sale,-11,-2412
2025-07-29,1,10058,Sale,-5,-2417
2025-07-30,1,10058,Sale,-9,-2426
2025-07-31,1,10058,Sale,-14,-2440
